"style-scope src","yt-simple-endpoint href","style-scope","yt-simple-endpoint","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-image src"
"https://yt3.ggpht.com/8KYda8U8ND0V_OE1SVM3AO_a6AARITN0_JtZpImVUYLz9QWVc6DqUe3S2gDUD5Jj1j0mGb1l-g=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@osvaldogabriel6016","@osvaldogabriel6016","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugwy3Doah99ndtQIsHB4AaABAg","Soy chileno acabo de ver la película  y aunque la historia es  conocida esta versión me dejo sin habla muy cruda lsgrimas me calleron mi respeto y no por esta película al pueblo uruguayo de verdad una obra maestra","440","10 respuestas",""
"https://yt3.ggpht.com/l5hn9_7AVaDPlzC6GkiNcYH1lqVyCUzeJmf_1TBuX_rc8sZ6UGAqPLpD7QhPZUBCijzqf6NG=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@HoyenlahistoriaYT","@HoyenlahistoriaYT","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgzLJ6BjUGJaTCkuR_d4AaABAg","""No hay amor más grande que el que da la vida por sus amigos""","53","1 respuesta",""
"https://yt3.ggpht.com/DL7wkuD1tSz9JMY-xyxJDZvPif7VvXXt0zcbc3GS27nHBNXMtnP3n85KyODtFZCXJy1QyAqS=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@wguti","@wguti","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugw-daOdkoPHEN1jGVV4AaABAg","Esta película toca las más íntimas entrañas, las ganas por vivir, por ver de nuevo a tu familia que es lo más valioso que tenemos después de estar vivos, a los amigos y todos aquellos por los cuales vale la pena vivir. Me a tocado mucho el alma porque mis padres fallecieron en un accidente y es tan doloroso llevar esa cruz por el resto de mis días, por eso ámense, ayuden, vivan, sean genuinos que la vida es hoy, es ahora.","232","3 respuestas",""
"https://yt3.ggpht.com/Yb3F-V4qmqkV_ilGi2cus9XiefpSCD_y7ORntJsn2czmoV7lCPrVjxMKGuPDzqqBhMKhO8QLTQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ENGY_1","@ENGY_1","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwVGaHnBfkDiWxc-xV4AaABAg","Fue la mejor película que me he visto en años","24","",""
"https://yt3.ggpht.com/ytc/AIdro_m4PqSKP5gyPVl6-9lKgH0bicD6xZ6cF7zznMTvvVw=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Lasmujeresasesinas3","@Lasmujeresasesinas3","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwjrlIbFXBYjExFBTl4AaABAg","El casting realmente estuvo de ovación. Es estarlos viendo cómo realmente fueron… el parecido es más que extraordinario.","47","",""
"https://yt3.ggpht.com/oMxSLe_iz3Z4pvrfAzJTo-CQGry1O3qrXxrpzs2ExuuQarJV8idPdUL5rBcJce_jerIiKDOj9w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@JuanDa17","@JuanDa17","hace 4 meses (editado)","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyTpNkIKQWz0SsGzj54AaABAg","Parceros como estan soy colombiano y ayer me la vin por Netflix y de verdad que chimba de película, excelente producción no tenia mucho conocimiento sobre el accidente de los Andes en 1972 pero de verdad que muy buena la película sobre esta tragedia Uruguaya se me aguaron los ojos cuando uno a uno comenzo a morir, muy buena Película mis parceros Uruguayos, les tengo mucho aprecio 🇨🇴🇺🇾","118","5 respuestas","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f91d.png"
"https://yt3.ggpht.com/ytc/AIdro_loKwW7s9LwD-uXgodEDWM27MHVbQRHXfgTf5p0rr9DCQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@aleksisgomez5501","@aleksisgomez5501","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugy8ZxvDl_tzbGTC3a14AaABAg","Tuve la oportunidad de conocer a Ramón Sabella en año 2008 en Un Congreso en hyatt . El expuso liderazgo en condiciones extremas. Explicó y detallo lo vivido lo sucedido..lo que más me conmovió fue la fuerza y la convicción de querer vivir .la importancia del trabajo de equipo , el liderazgo y por sobretodo la importancia de la familia.  Una vez que terminó una ovación completa.. a penas terminó  me acerque a conversar con el..fue una tremenda lección de vida..yo el lo profesional he liderado 4 alertas sanitarias en Chile y su aporte sin lugar a dudas ha sido fundamental...Un abrazo a los hermanos Uruguayos","180","2 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_k4OjgdYLwfQnAM94woCY5Ixdf_TPnYlTVTiyxzGHGn=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@yanetvergarapidiache6089","@yanetvergarapidiache6089","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgzsVX7A9j2CpRpaOHZ4AaABAg","La frase cuando dijo no veo a Dios allá arriba o a tu Dios que no se ve, dijo lo veo  y citaba acada personita que lo ayudaba, eso me marcó, Dios está en todas las 0ersonas que nos ayudan y nos asisten con amor sin retenciones ni intereses","23","","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u2764.png"
"https://yt3.ggpht.com/ytc/AIdro_mpyZr_486DE71WzfaSjGlhDimBlLdVYANjOe7jxS8exFTa=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@silviapimentel1076","@silviapimentel1076","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxSJY-6QkLhiSVj_354AaABAg","Experiencia increíble muy bien plasmada!! Ni el mejor guiónista de Hollywood hubiera escrito historia similar,la realidad siempre supera la ficción, espero ganen el Oscar!","110","1 respuesta",""
"https://yt3.ggpht.com/1psHkZ-egqyWyy9N5WOAsVL35mOa2AOq8vYi1ZB2U-0dazJK8hJD-Dr-njM4Eprnzau60fwS=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@giraelsun","@giraelsun","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugy6l1jZ8LiSU8GhYpl4AaABAg","Que en paz descanse Carlos Paez Vilaro todo lo que hizo para encontrar a su hijo Gran persona y artista","318","3 respuestas",""
