"nflag src","name-image href","name-image src","author-name","author-name href","author","rev-text","rev-text href"
"https://www.filmaffinity.com/imgs/countries2/US.png","https://www.filmaffinity.com/es/name.php?name-id=179203684","https://pics.filmaffinity.com/ign-066377091213039-nm_200.jpg","Rafa Sales Ross","https://www.filmaffinity.com/es/name.php?name-id=558199338","IGN","""J.A. Bayona no sensacionaliza la historia real del accidente del vuelo 571 de la Fuerza Aérea Uruguaya, sino que opta por elaborar una historia humana de resistencia y supervivencia que se beneficia enormemente de una banda sonora nítida y de un guión basado en el conocimiento de primera mano de la catástrofe""","https://www.ign.com/articles/society-of-the-snow-review"
"https://www.filmaffinity.com/imgs/countries2/US.png","https://www.filmaffinity.com/es/name.php?name-id=115815335","https://pics.filmaffinity.com/vanity_fair-279478882536180-nm_200.jpg","Richard Lawson","https://www.filmaffinity.com/es/name.php?name-id=871065607","Vanity Fair","""Ninguna película podría captar plenamente lo horrible de esta experiencia. Sin embargo, a pesar de algunos de los irritantes trucos de Bayona, 'Society of the Snow' hace un trabajo lo suficientemente sólido como para transmitir la idea""","https://www.vanityfair.com/hollywood/society-of-the-snow-movie-review"
"https://www.filmaffinity.com/imgs/countries2/HK.png","https://www.filmaffinity.com/es/name.php?name-id=220330527","https://pics.filmaffinity.com/south_china_morning_post-139695154560217-nm_200.jpg","James Marsh","https://www.filmaffinity.com/es/name.php?name-id=747203251","South China Morning Post","""Desde la estremecedora secuencia del accidente hasta las impresionantes e implacables localizaciones, Bayona ha logrado una narración contundente y fascinante de esta extraordinaria e insondable experiencia (...) Puntuación: ★★★★ (sobre 5)""","https://www.scmp.com/lifestyle/entertainment/article/3245085/netflix-movie-review-society-snow-riveting-account-1972-andes-plane-crash-survivors-descent"
"https://www.filmaffinity.com/imgs/countries2/IE.png","https://www.filmaffinity.com/es/name.php?name-id=455863500","https://pics.filmaffinity.com/irish_independent-050962496009559-nm_200.jpg","Paul Whitington","https://www.filmaffinity.com/es/name.php?name-id=429375701","Irish Independent","""El accidente en sí está magníficamente recreado y Bayona consigue una belleza espeluznante en la representación de los parajes nevados, que parecen el infierno pero también el paraíso (...) Puntuación: ★★★★ (sobre 5)""","https://www.independent.ie/entertainment/movies/movie-reviews/ferrari-review-penelope-cruz-steals-the-show-but-adam-driver-stalls-in-stylish-biopic-about-racing-boss/a763326570.html"
"","https://www.filmaffinity.com/es/name.php?name-id=903388046","https://pics.filmaffinity.com/cineuropa-037882565797452-nm_200.jpg","Alfonso Rivera","https://www.filmaffinity.com/es/name.php?name-id=774266612","Cineuropa","""Tiene un aire comercial para conectar con el público joven y aporta poco a nivel artístico. Sin embargo, su ejecución técnica y visual es impecable, especialmente en las escenas del accidente y la avalancha""","https://cineuropa.org/en/newsdetail/449564"
"https://www.filmaffinity.com/imgs/countries2/ES.png","https://www.filmaffinity.com/es/name.php?name-id=133667826","https://pics.filmaffinity.com/diario_el_mundo-045427042680688-nm_200.jpg","Luis Martínez","https://www.filmaffinity.com/es/name.php?name-id=788102507","Diario El Mundo","""Una gran película, sin duda, pero sobre todo una gran película digna, sobre la dignidad del cine; sobre el heroísmo sin estridencias; sobre la evidencia de la bondad. Pese a todo. (...) Puntuación: ★★★★ (sobre 5)""","https://www.elmundo.es/cultura/cine/2023/12/14/6579b7b3e4d4d8295f8b45fa.html"
"https://www.filmaffinity.com/imgs/countries2/ES.png","https://www.filmaffinity.com/es/name.php?name-id=727681755","https://pics.filmaffinity.com/diario_el_pais-043761797614374-nm_200.jpg","Carlos Boyero","https://www.filmaffinity.com/es/name.php?name-id=618676456","Diario El País","""Todo funciona con perfección. Es una película tan sentida como primorosamente realizada. Me siento todo el rato dentro de ella. Su estética es poderosa. No hay desfallecimientos narrativos. Y todos los intérpretes resultan auténticos""","https://elpais.com/cultura/2023-12-15/la-sociedad-de-la-nieve-retrato-creible-y-emotivo-del-horror-que-se-vivio-en-el-accidente-aereo-en-los-andes.html"
"https://www.filmaffinity.com/imgs/countries2/ES.png","https://www.filmaffinity.com/es/name.php?name-id=450049432","https://pics.filmaffinity.com/diario_abc-102492007189349-nm_200.jpg","Oti Rodríguez Marchante","https://www.filmaffinity.com/es/name.php?name-id=241392252","Diario ABC","""Bayona ha hecho una obra impecable en lo técnico y en lo narrativo, y en lo interior es de una profundidad y un respeto mayúsculos.""","https://www.abc.es/play/cine/cuento-sublime-tragedia-interior-miyazaki-bayona-sobreponen-20230922191941-nt.html"
"https://www.filmaffinity.com/imgs/countries2/ES.png","https://www.filmaffinity.com/es/name.php?name-id=294175420","https://pics.filmaffinity.com/diario_la_razon-134853723355466-nm_200.jpg","Sergi Sánchez","https://www.filmaffinity.com/es/name.php?name-id=753706584","Diario La Razón","""Se debate entre la película que querría ser y la que (...) acaba siendo, un artefacto mecánico y ampuloso, imbuido de la responsabilidad moral de contar esta historia de la única manera en que había que contarla. (...) Puntuación: ★★½ (sobre 5)""","https://www.larazon.es/cultura/critica-sociedad-nieve-sufrir-luz-12_20231214657add41f03b8e0001ebb9e3.html"
"https://www.filmaffinity.com/imgs/countries2/ES.png","https://www.filmaffinity.com/es/name.php?name-id=174902792","https://pics.filmaffinity.com/eldiario_es-019994791716068-nm_200.jpg","Javier Zurro","https://www.filmaffinity.com/es/name.php?name-id=243827490","eldiario.es","""Una de las películas más espectaculares del cine español, con escenas -especialmente el accidente y la avalancha- que tardan en irse del recuerdo.""","https://www.eldiario.es/cultura/cine/acuerdo-emocion-supervivientes-andes-sociedad-nieve_1_10501085.html"
